Event,Date,Status,Tickets Sold,Tickets Available
Out in Tech SF | Money Talks: Unlocking Financial Inclusion with FinTech ,"Wednesday, February 27, 2019 6:00 PM",Past,273,72
Out in Tech New York | Demos & Drinks at Justworks,"Thursday, March 7, 2019 6:30 PM",Past,264,26
Out in Tech PDX | March Social,"Monday, March 11, 2019 6:00 PM",Past,66,34
Out in Tech Chicago | Health is Community Wealth,"Thursday, March 14, 2019 6:30 PM",Past,81,314
Out in Tech SF | March Mingle @ Jolene's ,"Saturday, March 16, 2019 5:00 PM",Past,191,0
Out in Tech New York | Digital Corps Celebration,"Tuesday, March 26, 2019 6:30 PM",Past,130,210
Out in Tech SF | March Social @ Oasis,"Wednesday, March 27, 2019 6:00 PM",Past,841,1269
Out in Tech DC | One Year Anniversary!,"Wednesday, March 27, 2019 6:30 PM",Past,202,273
Out in Tech PDX | April Social,"Tuesday, April 2, 2019 6:00 PM",Past,97,3
Out in Tech | Leadership Training Institute 2019,"Friday, April 5, 2019 9:00 AM",Past,68,82
Out in Tech New York | Tuning in: Inclusivity in (digital) Media ,"Wednesday, April 10, 2019 6:30 PM",Past,219,17
Out in Tech LA | 3 Year Anniversary,"Saturday, April 13, 2019 8:00 PM",Past,240,365
Out in Tech U | Mentorship Field Trip @ Spotify ,"Thursday, April 18, 2019 6:00 PM",Past,66,124
Out in Tech PDX | Healthcare in the community: Does who we are affect how we are?,"Monday, April 22, 2019 5:30 PM",Past,89,111
Out in Tech ATX | Spring Social at Native,"Tuesday, April 23, 2019 6:00 PM",Past,181,74
Out in Tech BOS | Spring Social at Club Cafe,"Wednesday, April 24, 2019 6:00 PM",Past,212,283
Out in Tech SF | Tech-nically Dating,"Thursday, May 2, 2019 6:00 PM",Past,186,39
Out in Tech U | Mentorship Trip to Snapchat!,"Thursday, May 2, 2019 6:00 PM",Past,43,172
Out in Tech ATX: Meet Flatiron School (Info Session),"Tuesday, May 7, 2019 5:30 PM",Past,6,54
Out in Tech PDX | May Social,"Tuesday, May 7, 2019 6:00 PM",Past,67,33
Out in Tech DC | TGNC and Queer Womxn Social,"Wednesday, May 8, 2019 6:30 PM",Past,82,143
Out in Tech CHI | Healthcare Tech Through an LGBTQ+ Lens,"Thursday, May 9, 2019 6:00 PM",Past,95,300
Out in Tech LA | Tech-nically Dating,"Thursday, May 9, 2019 6:30 PM",Past,131,4
Out in Tech New York | (M)ad About You: Adtech & the LGBTQ+ community,"Wednesday, May 15, 2019 6:00 PM",Past,531,61
Out in Tech SF | Breaking into Tech,"Tuesday, May 21, 2019 6:00 PM",Past,150,95
Out in Tech BOS | What's Your Story? ,"Wednesday, May 22, 2019 6:30 PM",Past,164,306
Out in Tech LDN  | How to Build a Movement at Snapchat,"Thursday, May 23, 2019 6:30 PM",Past,198,42
Out in Tech PDX | Demos and Drinks May 2019,"Wednesday, May 29, 2019 6:00 PM",Past,99,201
Out in Tech Seattle | Launch Event at Flatiron School!,"Wednesday, May 29, 2019 6:30 PM",Past,280,160
Out in Tech Digital Corps | Happy Hour at Verizon Media Group,"Saturday, June 1, 2019 5:30 PM",Past,74,76
Out in Tech ATX | AR Celebrating Stonewall Forever at Google,"Tuesday, June 4, 2019 5:30 PM",Past,268,-18
Out in Tech PDX | June Social,"Tuesday, June 4, 2019 6:00 PM",Past,44,56
Out in Tech LA | Snap Inc. Pride Mixer,"Thursday, June 6, 2019 6:00 PM",Past,646,94
Out in Tech SF | Fighting Youth Homelessness in the Bay Area,"Thursday, June 6, 2019 6:00 PM",Past,137,348
Out in Tech NY | Womxn & TGNC Social at Ginger's,"Tuesday, June 11, 2019 6:30 PM",Past,205,95
Out in Tech PDX | Pride Kickoff 2019,"Wednesday, June 12, 2019 6:00 PM",Past,270,94
Out in Tech NY | QTPOC Pride at HUGE,"Wednesday, June 12, 2019 6:00 PM",Past,404,51
Out in Tech SF | TGNC Social at Blend,"Wednesday, June 12, 2019 6:00 PM",Past,102,48
Out in Tech DC | The Trek to Tech,"Wednesday, June 12, 2019 6:30 PM",Past,150,25
Out in Tech U | Pride Panel at Twitter,"Tuesday, June 18, 2019 6:00 PM",Past,169,131
Out in Tech London | Speaking Our Language at Allison + Partners,"Wednesday, June 19, 2019 6:00 PM",Past,150,27
Out in Tech Miami | Launch Event ,"Thursday, June 20, 2019 6:00 PM",Past,154,161
Out in Tech SF | How to be a Good Ally at Twitter HQ,"Thursday, June 20, 2019 6:00 PM",Past,423,157
Out in Tech Bengaluru | Launch Event ,"Saturday, June 29, 2019 12:00 PM",Past,158,117
Out in Tech PDX | July Social,"Tuesday, July 2, 2019 5:30 PM",Past,171,29
Out in Tech Chicago | Steppenwolf Social & Ms. Blakk For President  ,"Thursday, July 11, 2019 5:30 PM",Past,47,28
Out in Tech Boston | Spare Some Change? ,"Thursday, July 11, 2019 6:00 PM",Past,146,29
Out in Tech London | Spare Some Change? ,"Thursday, July 11, 2019 6:30 PM",Past,144,31
Out in Tech Seattle | Summer Social at Optimism Brewing,"Wednesday, July 17, 2019 6:00 PM",Past,244,71
Out in Tech LA | Summer Social at Soylent Innovation Lab,"Thursday, July 18, 2019 5:30 PM",Past,221,14
Out in Tech London | Women & Nonbinary Series Launch,"Wednesday, July 24, 2019 6:00 PM",Past,85,90
Out in Tech DC | Summer Fun Happy Hour,"Wednesday, July 31, 2019 6:30 PM",Past,102,73
Out in Tech PDX | August Social,"Tuesday, August 6, 2019 5:30 PM",Past,231,69
Out in Tech LA | Breaking into Tech,"Monday, August 12, 2019 7:00 PM",Past,214,31
Out in Tech Miami | What's Your Brand?,"Tuesday, August 13, 2019 6:00 PM",Past,80,20
Out in Tech London | Pass the Controller: Queering the Games and Tech We Create,"Wednesday, August 14, 2019 6:30 PM",Past,190,185
Out in Tech Boston | Summer Social at Club Cafe,"Thursday, August 15, 2019 6:00 PM",Past,157,168
Out in Tech SF | Sunday Funday Picnic!,"Sunday, August 18, 2019 2:00 PM",Past,187,113
Out in Tech London | End of Summer Social,"Wednesday, August 28, 2019 6:30 PM",Past,228,22
Out in Tech PDX | September Social,"Tuesday, September 3, 2019 5:30 PM",Past,125,5
Out in Tech NY | Keepin' It Real [Estate],"Wednesday, September 4, 2019 6:30 PM",Past,310,15
Out in Tech SF | Oakland Pride Kickoff!,"Saturday, September 7, 2019 5:00 PM",Past,173,177
Out in Tech NY | Demos & Drinks,"Wednesday, September 11, 2019 6:00 PM",Past,424,-14
Out in Tech BOS | AI/ML and Queering the Future,"Thursday, September 12, 2019 6:00 PM",Past,136,189
Out in Tech U | Finding Your Path in Tech,"Monday, September 16, 2019 8:00 PM",Past,206,209
Out in Tech PDX | Demos and Drinks September 2019,"Tuesday, September 17, 2019 5:30 PM",Past,125,25
Out in Tech NY | How I Built This with URBAN-X,"Wednesday, September 18, 2019 6:30 PM",Past,420,10
Out in Tech London | Tech for Good ,"Wednesday, September 18, 2019 6:30 PM",Past,331,44
Out in Tech CHI | Digital Corps Happy Hour,"Saturday, September 28, 2019 5:00 PM",Past,33,42
Out in Tech PDX | October Social,"Tuesday, October 1, 2019 6:00 PM",Past,96,51
Out in Tech Denver | Launch Event at Flatiron School,"Wednesday, October 2, 2019 6:00 PM",Past,74,251
Out in Tech BOS | Fall Social at LogMeIn,"Thursday, October 3, 2019 6:00 PM",Past,190,135
Out in Tech U | Field Trip to Google Offices,"Monday, October 7, 2019 6:00 PM",Past,58,117
Out in Tech London | LGBTQIA+ Media Debate ,"Wednesday, October 9, 2019 6:30 PM",Past,324,111
Out in Tech PDX | Womxn Leaders in Technology,"Thursday, October 10, 2019 5:30 PM",Past,141,149
Out in Tech CHI | Fall Social at DocuSign,"Thursday, October 10, 2019 5:30 PM",Past,157,8
Out In Tech PDX | Equity by Design,"Wednesday, October 16, 2019 5:30 PM",Past,113,27
